,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
31,male,1,yes,no,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),63.1,4685.55,0
32,male,0,no,no,24,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,24.6,592.65,0
33,male,0,yes,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,no,electronic_check,70.0,70.0,1
34,male,0,yes,no,53,no,no_phone_service,dsl,no,yes,yes,yes,yes,yes,one_year,yes,electronic_check,60.45,3184.25,1
35,female,0,no,no,6,yes,yes,fiber_optic,no,yes,no,no,yes,no,month_to_month,yes,electronic_check,90.1,521.3,1
36,female,0,yes,yes,45,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),24.65,1171.3,0
37,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,electronic_check,49.25,91.1,1
38,female,0,no,no,2,yes,no,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,mailed_check,79.65,152.7,1
39,female,0,yes,yes,61,no,no_phone_service,dsl,no,yes,yes,yes,yes,no,two_year,no,credit_card_(automatic),51.35,3244.4,0
40,female,0,yes,no,71,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),25.0,1753.0,0
41,male,0,yes,no,48,yes,yes,dsl,no,yes,yes,no,no,yes,one_year,yes,credit_card_(automatic),70.55,3420.5,0
42,female,0,yes,yes,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,24.9,1859.2,0
43,male,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,69.9,69.9,1
44,female,0,no,no,70,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),26.05,1856.4,0
45,male,0,yes,no,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),24.8,1874.3,0
46,female,0,yes,yes,35,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.7,730.4,0
47,male,0,yes,yes,20,yes,yes,fiber_optic,no,yes,no,yes,yes,no,month_to_month,no,mailed_check,96.8,1826.7,0
48,female,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,electronic_check,18.85,18.85,0
49,female,0,yes,yes,49,yes,yes,fiber_optic,no,yes,no,no,yes,yes,one_year,no,mailed_check,100.45,4941.8,1
50,male,1,yes,no,61,yes,yes,dsl,no,yes,no,no,no,yes,one_year,no,bank_transfer_(automatic),64.05,3902.6,0
51,female,1,no,no,6,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,98.25,560.6,1
52,female,0,yes,yes,45,yes,yes,dsl,yes,yes,yes,yes,yes,no,month_to_month,no,mailed_check,81.3,3541.1,0
53,female,0,yes,yes,48,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,month_to_month,yes,credit_card_(automatic),105.25,4997.5,0
54,female,0,yes,no,68,yes,yes,dsl,yes,yes,yes,yes,no,no,two_year,no,credit_card_(automatic),70.9,4911.35,0
55,male,0,no,no,13,yes,no,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,91.1,1135.7,1
56,female,0,yes,yes,11,no,no_phone_service,dsl,yes,no,no,no,yes,yes,month_to_month,no,electronic_check,50.55,565.35,0
57,female,0,yes,no,11,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,94.0,1078.9,1
58,female,1,no,no,51,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.6,967.9,0
59,female,0,no,no,18,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.65,391.7,0
60,female,0,yes,yes,67,yes,no,fiber_optic,yes,yes,yes,no,no,no,one_year,no,bank_transfer_(automatic),84.8,5598.3,0
61,female,0,no,no,37,yes,no,fiber_optic,no,yes,yes,no,no,no,one_year,no,electronic_check,80.05,3019.1,0
62,female,0,no,no,50,yes,yes,fiber_optic,yes,yes,no,yes,yes,yes,two_year,yes,electronic_check,109.65,5551.15,1
63,male,1,yes,yes,64,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),111.6,7099.0,0
64,female,0,no,no,14,yes,no,fiber_optic,no,yes,no,no,no,yes,month_to_month,yes,electronic_check,86.3,1180.95,1
65,male,0,yes,yes,67,yes,no,fiber_optic,no,yes,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),103.15,6895.5,0
66,female,0,yes,yes,13,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.85,272.35,0
67,female,0,no,no,1,yes,no,fiber_optic,no,yes,no,no,no,no,month_to_month,no,electronic_check,75.8,75.8,1
68,male,0,yes,yes,46,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.95,862.4,0
69,female,0,yes,yes,48,yes,no,dsl,yes,no,yes,yes,yes,no,one_year,no,bank_transfer_(automatic),69.7,3023.65,0
70,male,1,yes,yes,24,yes,yes,fiber_optic,yes,no,no,no,no,no,month_to_month,yes,electronic_check,79.85,1857.75,0
71,male,1,yes,no,59,no,no_phone_service,dsl,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,50.25,2997.45,0
72,female,0,no,no,23,yes,yes,dsl,yes,no,yes,no,yes,yes,one_year,yes,electronic_check,78.55,1843.05,0
73,male,0,yes,no,1,yes,no,fiber_optic,yes,no,no,no,yes,yes,month_to_month,yes,electronic_check,95.0,95.0,1
74,male,1,yes,no,46,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,electronic_check,98.85,4564.9,0
75,female,0,yes,yes,59,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),90.3,5194.05,0
76,female,1,yes,no,34,yes,yes,fiber_optic,no,yes,yes,no,no,yes,month_to_month,yes,electronic_check,94.25,3217.55,1
77,female,0,no,no,2,yes,no,fiber_optic,yes,yes,no,yes,no,no,month_to_month,yes,electronic_check,86.25,181.65,1
78,female,1,no,no,27,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,85.25,2287.25,1
79,female,0,no,yes,15,yes,no,fiber_optic,no,yes,no,no,no,yes,month_to_month,yes,bank_transfer_(automatic),85.9,1269.55,1
80,male,0,no,no,21,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,mailed_check,19.95,416.4,0
81,male,0,no,no,10,no,no_phone_service,dsl,no,no,no,no,no,yes,month_to_month,yes,mailed_check,33.9,298.45,1
82,male,0,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,credit_card_(automatic),20.75,67.1,0
83,male,0,yes,yes,72,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),19.8,1414.65,0
84,female,1,yes,no,17,yes,yes,fiber_optic,yes,no,yes,no,no,no,month_to_month,yes,bank_transfer_(automatic),85.35,1463.45,1
85,male,1,no,no,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),113.8,7845.8,0
86,male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,bank_transfer_(automatic),19.65,19.65,0
87,male,1,no,no,8,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,electronic_check,100.6,819.4,1
88,male,0,yes,yes,72,yes,no,dsl,no,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),75.4,5480.25,0
89,female,1,no,no,49,yes,no,dsl,no,no,no,no,no,no,month_to_month,no,mailed_check,43.8,2106.05,0
90,female,0,no,no,10,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,no,electronic_check,86.45,830.85,1
91,female,0,yes,no,26,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.2,459.6,0
92,male,1,no,no,68,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),20.0,1396.0,0
93,female,0,no,no,12,yes,no,dsl,no,yes,no,yes,no,no,month_to_month,yes,electronic_check,54.3,654.5,0
94,male,0,yes,yes,13,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,mailed_check,19.85,252.0,0
95,male,0,no,no,51,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,99.0,5038.15,0
96,male,0,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.95,68.2,0
97,male,0,no,no,9,yes,no,dsl,yes,no,yes,yes,no,yes,month_to_month,yes,bank_transfer_(automatic),68.25,576.95,0
98,female,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month_to_month,yes,electronic_check,49.9,49.9,0
99,male,0,yes,yes,56,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),24.15,1402.25,0
100,male,0,no,yes,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,no,electronic_check,44.0,44.0,0
101,male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.0,20.0,1
102,male,0,no,no,18,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,no,mailed_check,74.15,1387.0,0
103,male,0,no,no,1,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,credit_card_(automatic),49.8,49.8,0
104,male,0,no,no,22,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,no,electronic_check,83.05,1799.3,0
105,female,0,yes,no,1,no,no_phone_service,dsl,no,no,no,no,no,yes,month_to_month,no,electronic_check,35.0,35.0,0
106,male,0,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,electronic_check,47.8,92.45,1
107,female,0,yes,yes,53,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.9,1146.05,0
108,male,0,yes,yes,32,yes,yes,fiber_optic,yes,no,no,no,yes,yes,month_to_month,yes,credit_card_(automatic),99.55,3204.65,1
109,male,0,no,no,1,yes,no,dsl,yes,no,no,no,no,no,month_to_month,no,mailed_check,51.25,51.25,0
110,female,1,yes,no,70,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),19.55,1462.05,0
111,male,1,no,no,16,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,no,electronic_check,69.65,1043.3,0
112,male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.15,20.15,1
113,female,0,yes,no,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,bank_transfer_(automatic),19.25,375.25,0
114,male,0,no,no,71,yes,yes,dsl,yes,yes,yes,yes,no,yes,two_year,no,bank_transfer_(automatic),80.6,5708.2,0
115,male,0,no,no,1,yes,yes,dsl,no,yes,no,no,no,no,month_to_month,no,electronic_check,54.3,54.3,0
116,male,0,yes,yes,72,yes,yes,fiber_optic,no,yes,yes,yes,no,no,two_year,no,bank_transfer_(automatic),90.45,6565.85,0
117,male,0,no,no,1,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,95.45,95.45,1
118,female,0,no,no,8,yes,no,dsl,yes,yes,no,yes,no,no,one_year,no,bank_transfer_(automatic),58.2,469.25,0
119,female,0,no,no,14,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,credit_card_(automatic),71.0,914.0,1
120,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,mailed_check,45.4,45.4,0
121,male,0,yes,no,50,yes,yes,fiber_optic,no,no,no,yes,yes,yes,one_year,no,electronic_check,99.4,5059.75,0
122,female,1,no,no,30,no,no_phone_service,dsl,no,no,yes,no,yes,no,month_to_month,yes,electronic_check,40.3,1172.95,1
123,female,0,yes,yes,6,yes,no,dsl,no,no,no,yes,no,no,month_to_month,yes,mailed_check,48.8,297.35,0
124,female,1,yes,yes,23,yes,no,fiber_optic,no,yes,yes,no,no,yes,month_to_month,yes,bank_transfer_(automatic),88.45,2130.55,0
125,male,0,no,no,16,yes,yes,fiber_optic,no,no,no,yes,no,yes,month_to_month,yes,credit_card_(automatic),89.05,1448.6,1
126,male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,mailed_check,20.45,20.45,0
127,male,0,yes,yes,69,yes,no,dsl,yes,yes,no,yes,yes,yes,two_year,no,bank_transfer_(automatic),80.65,5542.55,0
128,male,1,yes,no,18,yes,no,dsl,yes,no,no,no,no,yes,month_to_month,yes,credit_card_(automatic),59.1,1011.05,0
129,female,0,no,no,60,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,105.9,6396.45,1
130,male,1,no,no,52,no,no_phone_service,dsl,yes,no,no,no,yes,yes,month_to_month,yes,credit_card_(automatic),48.8,2555.05,0
131,male,0,no,yes,6,yes,no,fiber_optic,no,no,yes,no,yes,yes,month_to_month,no,mailed_check,94.5,575.45,1
132,male,0,no,yes,9,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.1,190.25,0
133,female,0,no,no,35,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),23.3,797.1,0
134,female,0,no,no,40,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.15,804.85,0
135,female,0,yes,no,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),84.9,6065.3,0
136,male,1,yes,no,20,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,month_to_month,no,electronic_check,107.05,2172.05,0
137,female,0,no,no,11,yes,no,dsl,yes,no,no,no,no,no,month_to_month,no,credit_card_(automatic),48.55,501.0,1
138,male,0,no,no,13,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.75,265.75,0
139,male,1,yes,no,32,yes,no,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,credit_card_(automatic),80.3,2483.05,1
140,female,0,yes,no,21,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,month_to_month,yes,electronic_check,103.9,2254.2,1
141,female,0,yes,no,12,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month_to_month,yes,bank_transfer_(automatic),49.85,617.15,0
142,male,0,yes,yes,38,yes,no,dsl,yes,no,yes,yes,yes,yes,two_year,no,credit_card_(automatic),81.0,3084.9,0
143,female,0,yes,yes,12,yes,yes,fiber_optic,no,yes,yes,no,no,no,month_to_month,yes,electronic_check,84.5,916.9,1
144,male,0,no,yes,30,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),25.35,723.3,0
145,female,0,yes,yes,72,yes,yes,dsl,no,yes,no,yes,yes,yes,two_year,yes,electronic_check,78.95,5730.15,0
146,female,0,yes,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,70.7,141.45,1
147,male,0,no,no,43,yes,no,dsl,no,yes,no,no,no,yes,two_year,yes,electronic_check,60.0,2548.55,0
148,male,0,yes,yes,50,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,month_to_month,no,credit_card_(automatic),105.95,5341.8,1
149,male,0,no,no,44,yes,no,fiber_optic,no,yes,no,yes,yes,yes,month_to_month,no,electronic_check,100.55,4398.15,1
150,male,0,yes,yes,42,yes,yes,fiber_optic,yes,no,no,no,yes,yes,one_year,no,electronic_check,97.1,4016.75,0
151,female,0,no,no,32,yes,yes,dsl,yes,no,no,no,yes,yes,one_year,no,mailed_check,74.75,2282.95,0
152,female,0,no,yes,28,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.25,535.35,0
153,female,0,no,no,72,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,109.9,7624.2,0
154,female,0,no,no,15,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,100.15,1415.0,0
155,female,0,no,no,24,yes,no,dsl,yes,no,no,yes,no,no,month_to_month,no,credit_card_(automatic),56.35,1381.2,0
156,male,0,yes,yes,60,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,electronic_check,110.6,6586.85,0
157,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,mailed_check,45.4,45.4,1
158,male,0,yes,no,61,yes,no,dsl,yes,yes,no,yes,yes,yes,two_year,yes,mailed_check,81.05,4747.65,0
159,female,0,no,no,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,mailed_check,20.7,137.6,0
160,male,1,yes,no,18,yes,no,fiber_optic,no,no,no,no,no,yes,month_to_month,no,electronic_check,78.55,1422.65,1
161,male,0,yes,yes,71,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),114.0,8175.9,0
162,female,0,yes,yes,70,yes,yes,dsl,yes,no,no,no,no,yes,one_year,no,bank_transfer_(automatic),65.2,4543.15,0
163,female,0,yes,no,70,yes,yes,dsl,yes,no,yes,yes,no,no,two_year,no,credit_card_(automatic),65.3,4759.75,1
164,male,0,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,no,yes,two_year,yes,credit_card_(automatic),104.9,7732.65,0
165,male,0,no,no,31,yes,yes,fiber_optic,no,yes,no,no,no,no,month_to_month,yes,electronic_check,81.15,2640.55,0
166,female,0,no,no,12,yes,no,fiber_optic,yes,no,no,no,yes,no,one_year,yes,credit_card_(automatic),85.15,979.05,0
167,male,0,no,no,35,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),26.2,954.9,0
168,female,0,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,77.15,77.15,1
169,female,0,no,no,36,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),104.8,3886.45,0
170,female,0,yes,yes,30,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,electronic_check,100.05,3046.15,1
171,male,0,no,no,63,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,month_to_month,no,electronic_check,105.4,6713.2,0
172,female,0,yes,no,71,yes,yes,fiber_optic,yes,yes,no,no,yes,no,one_year,no,mailed_check,95.65,6856.95,0
173,female,0,yes,no,7,yes,no,fiber_optic,no,no,yes,no,no,no,month_to_month,yes,bank_transfer_(automatic),75.15,496.9,1
174,male,0,yes,yes,60,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),20.95,1270.55,0
175,male,0,yes,no,4,no,no_phone_service,dsl,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,48.55,201.0,1
176,female,0,yes,yes,65,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),26.0,1654.85,0
177,male,0,no,no,54,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.65,1008.7,0
178,male,0,yes,yes,24,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),24.1,587.4,0
179,male,0,yes,yes,35,yes,no,fiber_optic,no,yes,no,yes,yes,no,one_year,yes,electronic_check,89.7,3165.6,0
180,male,1,no,no,12,no,no_phone_service,dsl,no,yes,no,no,no,no,month_to_month,yes,credit_card_(automatic),29.35,381.2,0
181,male,0,yes,yes,71,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),85.45,6029.9,0
182,male,0,no,no,19,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,99.95,1931.75,1
183,female,0,no,no,2,yes,no,fiber_optic,no,no,yes,no,no,no,month_to_month,yes,electronic_check,75.8,160.75,1
184,female,0,yes,yes,19,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.15,387.7,0
185,male,1,no,no,16,yes,yes,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,electronic_check,86.6,1281.0,1
186,female,0,no,no,12,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,86.55,1066.9,0
187,female,0,yes,yes,36,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,month_to_month,yes,credit_card_(automatic),104.5,3684.95,0
188,male,1,yes,no,10,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,86.65,856.65,1
189,male,0,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.75,78.3,0
190,female,0,yes,no,57,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),109.4,6252.7,0
191,male,0,no,no,35,yes,yes,dsl,yes,no,no,no,no,no,two_year,no,mailed_check,55.25,1924.1,0
192,female,0,no,no,9,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,bank_transfer_(automatic),19.5,150.35,0
193,male,0,no,no,19,yes,no,dsl,no,no,no,yes,yes,no,month_to_month,yes,credit_card_(automatic),61.55,1093.2,0
